Date,LOCATION,PIT,Length.mm,Weight.g
2/21/2019,ELDSAC,B03F5,52,1.45
2/21/2019,ELDSAC,B040B,44,0.85
2/21/2019,ELDSAC,B0410,47,1.22
2/21/2019,ELDSAC,B0425,48,1.01
2/21/2019,ELDSAC,B0439,47,1.02
2/21/2019,ELDSAC,B045F,45,0.96
2/21/2019,ELDSAC,B046F,54,1.58
2/21/2019,ELDSAC,D6EBA,49,1.04
2/21/2019,RRCAN,B03AF,49,1.06
2/21/2019,RRCAN,B03C7,45,0.75
2/21/2019,RRCAN,B03F6,47,1.18
2/21/2019,RRCAN,B0433,49,1.03
2/21/2019,RRCAN,B0442,49,1.26
2/21/2019,RRCAN,B0459,49,1.19
2/21/2019,RRCAN,B0465,50,1.09
2/21/2019,RRCAN,B046C,49,1.2
2/21/2019,RRCAN,B0472,49,1.17
2/21/2019,RRCAN,B047A,50,0.92
2/21/2019,RRCAN,B0485,58,2.01
2/21/2019,RRCAN,B048D,51,1.49
2/21/2019,RRCAN,B049E,48,1.16
2/21/2019,RRCAN,B04BA,49,1.14
2/21/2019,RRCAN,B04BC,53,1.39
2/21/2019,RRCAN,B04C5,47,1.21
2/21/2019,RRCAN,B04CA,49,1.21
2/21/2019,RRCAN,D6E7D,49,1.21
2/21/2019,RRCAN,D6E84,52,1.51
2/21/2019,RRCAN,D6E92,53,1.59
2/21/2019,RRCAN,D6EA0,45,0.76
2/21/2019,RRCAN,D6EAC,52,1.26
2/21/2019,RRCAN,D6EBD,50,1.36
2/21/2019,RRCAN,D6ECA,49,1.06
2/21/2019,RRCAN,D6ECE,52,1.03
2/21/2019,RRSAC1,B03B3,51,1.4
2/21/2019,RRSAC1,B03C9,47,0.97
2/21/2019,RRSAC1,B03D6,49,1.4
2/21/2019,RRSAC1,B03EB,55,1.56
2/21/2019,RRSAC1,B0415,45,1.02
2/21/2019,RRSAC1,B0421,47,1.1
2/21/2019,RRSAC1,B042D,56,1.61
2/21/2019,RRSAC1,B0431,51,1.38
2/21/2019,RRSAC1,B0435,48,0.95
2/21/2019,RRSAC1,B043F,50,1.15
2/21/2019,RRSAC1,B0441,56,1.69
2/21/2019,RRSAC1,B0445,47,1.13
2/21/2019,RRSAC1,B044F,49,1.05
2/21/2019,RRSAC1,B0467,44,1.01
2/21/2019,RRSAC1,B0489,50,1.48
2/21/2019,RRSAC1,B0490,47,0.96
2/21/2019,RRSAC1,B04A4,49,1.17
2/21/2019,RRSAC1,B04AC,51,1.46
2/21/2019,RRSAC1,B04BB,52,1.48
2/21/2019,RRSAC1,B04C3,51,1.26
2/21/2019,RRSAC1,B04C9,54,1.64
2/21/2019,RRSAC1,D6E76,48,0.99
